# F_set      Vpp_set 
  F0           Vpp0   OVL0 RNG0
  F1           Vpp1   OVL1 RNG1
1.000000e+03 0.100000  1.000081e+03 0.000110 0 2e-01  9.999993e+02 0.101566 0 2e-01
1.086477e+03 0.100000  1.086355e+03 0.000108 0 1e-02  1.086444e+03 0.101591 0 2e-01
1.180433e+03 0.100000  1.180494e+03 0.000108 0 1e-02  1.180422e+03 0.101601 0 2e-01
1.282513e+03 0.100000  1.282432e+03 0.000109 0 1e-02  1.282503e+03 0.101584 0 2e-01
1.393421e+03 0.100000  1.393364e+03 0.000107 0 1e-02  1.393386e+03 0.101573 0 2e-01
1.513920e+03 0.100000  1.513899e+03 0.000108 0 1e-02  1.513887e+03 0.101564 0 2e-01
1.644840e+03 0.100000  1.644860e+03 0.000107 0 1e-02  1.644822e+03 0.101559 0 2e-01
1.787081e+03 0.100000  1.787171e+03 0.000108 0 1e-02  1.787043e+03 0.101545 0 2e-01
1.941623e+03 0.100000  1.941494e+03 0.000106 0 1e-02  1.941602e+03 0.101532 0 2e-01
2.109529e+03 0.100000  2.109553e+03 0.000108 0 1e-02  2.109506e+03 0.101526 0 2e-01
2.291955e+03 0.100000  2.291723e+03 0.000110 0 1e-02  2.291913e+03 0.101520 0 2e-01
2.490156e+03 0.100000  2.490078e+03 0.000110 0 1e-02  2.490089e+03 0.101522 0 2e-01
2.705498e+03 0.100000  2.705492e+03 0.000110 0 1e-02  2.705467e+03 0.101510 0 2e-01
2.939462e+03 0.100000  2.939468e+03 0.000114 0 1e-02  2.939469e+03 0.101509 0 2e-01
3.193658e+03 0.100000  3.193436e+03 0.000112 0 1e-02  3.193662e+03 0.101496 0 2e-01
3.469836e+03 0.100000  3.469612e+03 0.000113 0 1e-02  3.469840e+03 0.101490 0 2e-01
3.769898e+03 0.100000  3.769043e+03 0.000117 0 1e-02  3.769897e+03 0.101493 0 2e-01
4.095908e+03 0.100000  4.095837e+03 0.000117 0 1e-02  4.095862e+03 0.101489 0 2e-01
4.450111e+03 0.100000  4.450643e+03 0.000123 0 1e-02  4.450104e+03 0.101496 0 2e-01
4.834943e+03 0.100000  4.835050e+03 0.000126 0 1e-02  4.834824e+03 0.101500 0 2e-01
5.253056e+03 0.100000  5.253524e+03 0.000128 0 1e-02  5.252965e+03 0.101495 0 2e-01
5.707325e+03 0.100000  5.706936e+03 0.000133 0 1e-02  5.707320e+03 0.101499 0 2e-01
6.200878e+03 0.100000  6.201176e+03 0.000136 0 1e-02  6.200886e+03 0.101502 0 2e-01
6.737112e+03 0.100000  6.737141e+03 0.000144 0 1e-02  6.736940e+03 0.101499 0 2e-01
7.319719e+03 0.100000  7.319247e+03 0.000147 0 1e-02  7.319576e+03 0.101490 0 2e-01
7.952707e+03 0.100000  7.952165e+03 0.000160 0 1e-02  7.952691e+03 0.101491 0 2e-01
8.640435e+03 0.100000  8.640295e+03 0.000161 0 1e-02  8.640320e+03 0.101511 0 2e-01
9.387635e+03 0.100000  9.386965e+03 0.000167 0 1e-02  9.387560e+03 0.101529 0 2e-01
1.019945e+04 0.100000  1.019889e+04 0.000174 0 1e-02  1.019942e+04 0.101540 0 2e-01
1.108147e+04 0.100000  1.108106e+04 0.000188 0 1e-02  1.108131e+04 0.101567 0 2e-01
1.203976e+04 0.100000  1.204160e+04 0.000199 0 1e-02  1.203981e+04 0.101573 0 2e-01
1.308093e+04 0.100000  1.308064e+04 0.000208 0 1e-02  1.308059e+04 0.101587 0 2e-01
1.421213e+04 0.100000  1.421277e+04 0.000221 0 1e-02  1.421216e+04 0.101594 0 2e-01
1.544116e+04 0.100000  1.544089e+04 0.000242 0 1e-02  1.544100e+04 0.101587 0 2e-01
1.677646e+04 0.100000  1.677593e+04 0.000248 0 1e-02  1.677604e+04 0.101570 0 2e-01
1.822724e+04 0.100000  1.822879e+04 0.000275 0 1e-02  1.822702e+04 0.101567 0 2e-01
1.980348e+04 0.100000  1.980395e+04 0.000281 0 1e-02  1.980307e+04 0.101548 0 2e-01
2.151603e+04 0.100000  2.151627e+04 0.000308 0 1e-02  2.151590e+04 0.101553 0 2e-01
2.337668e+04 0.100000  2.337600e+04 0.000336 0 1e-02  2.337617e+04 0.101544 0 2e-01
2.539823e+04 0.100000  2.539770e+04 0.000355 0 1e-02  2.539783e+04 0.101540 0 2e-01
2.759459e+04 0.100000  2.759174e+04 0.000387 0 1e-02  2.759451e+04 0.101541 0 2e-01
2.998090e+04 0.100000  2.997770e+04 0.000411 0 1e-02  2.998096e+04 0.101543 0 2e-01
3.257356e+04 0.100000  3.257515e+04 0.000443 0 1e-02  3.257275e+04 0.101561 0 2e-01
3.539043e+04 0.100000  3.538984e+04 0.000484 0 1e-02  3.539042e+04 0.101547 0 2e-01
3.845089e+04 0.100000  3.845029e+04 0.000532 0 1e-02  3.845107e+04 0.101564 0 2e-01
4.177601e+04 0.100000  4.177600e+04 0.000559 0 1e-02  4.177601e+04 0.101550 0 2e-01
4.538868e+04 0.100000  4.538815e+04 0.000609 0 1e-02  4.538773e+04 0.101564 0 2e-01
