# F_set      Vpp_set 
  F0           Vpp0   OVL0 RNG0
  F1           Vpp1   OVL1 RNG1
1.000000e+03 0.001000  9.999513e+02 0.000823 0 1e-02  9.999604e+02 0.000824 0 1e-02
1.000000e+03 0.001216  9.999900e+02 0.000830 0 1e-02  9.999902e+02 0.000830 0 1e-02
1.000000e+03 0.001480  9.999500e+02 0.000836 0 1e-02  9.999621e+02 0.000837 0 1e-02
1.000000e+03 0.001800  9.999994e+02 0.000834 0 1e-02  9.999948e+02 0.000833 0 1e-02
1.000000e+03 0.002190  1.000007e+03 0.001903 0 1e-02  1.000005e+03 0.001907 0 1e-02
1.000000e+03 0.002664  9.999902e+02 0.001908 0 1e-02  9.999902e+02 0.001910 0 1e-02
1.000000e+03 0.003241  1.000006e+03 0.002905 0 1e-02  1.000005e+03 0.002910 0 1e-02
1.000000e+03 0.003942  9.999812e+02 0.002911 0 1e-02  9.999828e+02 0.002916 0 1e-02
1.000000e+03 0.004796  9.999960e+02 0.003909 0 1e-02  9.999944e+02 0.003914 0 1e-02
1.000000e+03 0.005834  9.999740e+02 0.004914 0 1e-02  9.999744e+02 0.004922 0 1e-02
1.000000e+03 0.007097  9.999843e+02 0.006930 0 1e-02  9.999844e+02 0.006943 0 1e-02
1.000000e+03 0.008633  9.999721e+02 0.007939 0 1e-02  9.999720e+02 0.007955 0 1e-02
1.000000e+03 0.010502  1.000003e+03 0.009970 0 2e-02  1.000003e+03 0.009991 0 2e-02
1.000000e+03 0.012775  9.999844e+02 0.012014 0 2e-02  9.999846e+02 0.012042 0 2e-02
1.000000e+03 0.015541  1.000008e+03 0.014461 0 2e-02  1.000007e+03 0.014493 0 2e-02
1.000000e+03 0.018905  9.999773e+02 0.017674 0 2e-02  9.999771e+02 0.017713 0 2e-02
1.000000e+03 0.022998  9.999957e+02 0.021736 0 2e-02  9.999953e+02 0.021783 0 2e-02
1.000000e+03 0.027976  1.000004e+03 0.026795 0 5e-02  1.000004e+03 0.026851 0 5e-02
1.000000e+03 0.034033  9.999967e+02 0.033948 0 5e-02  9.999967e+02 0.034021 0 5e-02
1.000000e+03 0.041400  9.999751e+02 0.041021 0 5e-02  9.999751e+02 0.041108 0 5e-02
1.000000e+03 0.050363  9.999761e+02 0.050217 0 5e-02  9.999761e+02 0.050324 0 5e-02
1.000000e+03 0.061265  9.999800e+02 0.061379 0 1e-01  9.999800e+02 0.061525 0 1e-01
1.000000e+03 0.074528  1.000004e+03 0.074678 0 1e-01  1.000004e+03 0.074855 0 1e-01
1.000000e+03 0.090662  9.999832e+02 0.091068 0 1e-01  9.999833e+02 0.091282 0 1e-01
1.000000e+03 0.110289  9.999781e+02 0.111664 0 1e-01  9.999781e+02 0.111926 0 1e-01
1.000000e+03 0.134164  1.000004e+03 0.136611 0 2e-01  1.000004e+03 0.136918 0 2e-01
1.000000e+03 0.163208  9.999800e+02 0.158330 0 2e-01  9.999799e+02 0.158681 0 2e-01
1.000000e+03 0.198540  9.999782e+02 0.194326 0 2e-01  9.999781e+02 0.194759 0 2e-01
1.000000e+03 0.241520  9.999813e+02 0.238118 0 2e-01  9.999814e+02 0.238652 0 2e-01
1.000000e+03 0.293804  9.999752e+02 0.290874 0 5e-01  9.999752e+02 0.291552 0 5e-01
1.000000e+03 0.357407  9.999996e+02 0.355786 0 5e-01  9.999996e+02 0.356610 0 5e-01
1.000000e+03 0.434779  9.999867e+02 0.433808 0 5e-01  9.999867e+02 0.434808 0 5e-01
1.000000e+03 0.528901  1.000004e+03 0.529656 0 5e-01  1.000004e+03 0.530880 0 5e-01
1.000000e+03 0.643398  9.999754e+02 0.646054 0 1e+00  9.999755e+02 0.647502 0 1e+00
1.000000e+03 0.782682  9.999802e+02 0.788004 0 1e+00  9.999802e+02 0.789784 0 1e+00
1.000000e+03 0.952118  9.999920e+02 0.962458 0 1e+00  9.999920e+02 0.964614 0 1e+00
1.000000e+03 1.158234  1.000003e+03 1.174350 0 1e+00  1.000003e+03 1.176954 0 1e+00
1.000000e+03 1.408970  1.000000e+03 1.435342 0 2e+00  1.000000e+03 1.438824 0 2e+00
1.000000e+03 1.713985  9.999749e+02 1.665820 0 2e+00  9.999749e+02 1.669872 0 2e+00
1.000000e+03 2.085031  9.999864e+02 2.037480 0 2e+00  9.999863e+02 2.042360 0 2e+00
1.000000e+03 2.536402  1.000002e+03 2.497320 0 5e+00  1.000002e+03 2.503240 0 5e+00
1.000000e+03 3.085485  9.999870e+02 3.046640 0 5e+00  9.999870e+02 3.053760 0 5e+00
1.000000e+03 3.753435  9.999906e+02 3.725660 0 5e+00  9.999906e+02 3.734300 0 5e+00
1.000000e+03 4.565984  9.999904e+02 4.542040 0 5e+00  9.999904e+02 4.552560 0 5e+00
1.000000e+03 5.554434  9.999755e+02 5.545760 0 5e+00  9.999756e+02 5.558460 0 5e+00
1.000000e+03 6.756865  9.999943e+02 6.691460 0 1e+01  9.999943e+02 6.775520 0 1e+01
1.000000e+03 8.219600  1.000003e+03 7.367700 0 1e+01  1.000002e+03 8.266520 0 1e+01
1.000000e+03 9.998990  1.000003e+03 7.733080 0 1e+01  1.000002e+03 10.082140 0 1e+01
1.000000e+03 12.163585  9.999941e+02 7.961460 0 1e+01  9.999919e+02 12.309800 0 2e+01
1.000000e+03 14.796774  9.999885e+02 6.117120 0 1e+01  9.999869e+02 15.049080 0 2e+01
1.000000e+03 18.000000  1.000016e+03 2.925580 0 1e+01  9.999921e+02 18.341080 0 2e+01
