# F_set      Vpp_set 
  F0           Vpp0   OVL0 RNG0
  F1           Vpp1   OVL1 RNG1
1.000000e+03 0.010000  9.999821e+02 1.000126 0 1e+00  9.999824e+02 0.010028 0 1e+00
1.086477e+03 0.010000  1.086471e+03 0.999156 0 2e+00  1.086471e+03 0.009996 0 2e-02
1.180433e+03 0.010000  1.180434e+03 0.999464 0 2e+00  1.180434e+03 0.009999 0 2e-02
1.282513e+03 0.010000  1.282513e+03 0.999344 0 2e+00  1.282514e+03 0.009999 0 2e-02
1.393421e+03 0.010000  1.393426e+03 0.999546 0 1e+00  1.393428e+03 0.010002 0 1e-02
1.513920e+03 0.010000  1.513920e+03 0.999264 0 1e+00  1.513921e+03 0.010007 0 2e-02
1.644840e+03 0.010000  1.644832e+03 0.999040 0 1e+00  1.644832e+03 0.010006 0 2e-02
1.787081e+03 0.010000  1.787041e+03 0.999190 0 1e+00  1.787040e+03 0.010009 0 2e-02
1.941623e+03 0.010000  1.941627e+03 0.999040 0 1e+00  1.941625e+03 0.010009 0 2e-02
2.109529e+03 0.010000  2.109522e+03 0.998696 0 1e+00  2.109523e+03 0.010008 0 2e-02
2.291955e+03 0.010000  2.291941e+03 0.998704 0 1e+00  2.291937e+03 0.010010 0 2e-02
2.490156e+03 0.010000  2.490090e+03 0.998548 0 1e+00  2.490091e+03 0.010011 0 2e-02
2.705498e+03 0.010000  2.705465e+03 0.997968 0 1e+00  2.705463e+03 0.010008 0 2e-02
2.939462e+03 0.010000  2.939458e+03 0.997790 0 1e+00  2.939461e+03 0.010009 0 2e-02
3.193658e+03 0.010000  3.193590e+03 0.997280 0 1e+00  3.193587e+03 0.010007 0 2e-02
3.469836e+03 0.010000  3.469787e+03 0.997020 0 1e+00  3.469781e+03 0.010006 0 2e-02
3.769898e+03 0.010000  3.769830e+03 0.996340 0 1e+00  3.769821e+03 0.010004 0 2e-02
4.095908e+03 0.010000  4.095926e+03 0.995826 0 1e+00  4.095922e+03 0.010006 0 2e-02
4.450111e+03 0.010000  4.450001e+03 0.995170 0 1e+00  4.450001e+03 0.010003 0 2e-02
4.834943e+03 0.010000  4.834822e+03 0.994500 0 1e+00  4.834828e+03 0.010001 0 2e-02
5.253056e+03 0.010000  5.253053e+03 0.993770 0 1e+00  5.253038e+03 0.010000 0 2e-02
5.707325e+03 0.010000  5.707314e+03 0.992762 0 2e+00  5.707303e+03 0.009997 0 2e-02
6.200878e+03 0.010000  6.200855e+03 0.991490 0 1e+00  6.200836e+03 0.009996 0 1e-02
6.737112e+03 0.010000  6.737133e+03 0.990172 0 1e+00  6.737122e+03 0.009996 0 1e-02
7.319719e+03 0.010000  7.319556e+03 0.988866 0 1e+00  7.319578e+03 0.009995 0 1e-02
7.952707e+03 0.010000  7.952589e+03 0.986406 0 1e+00  7.952582e+03 0.009982 0 1e-02
8.640435e+03 0.010000  8.640390e+03 0.985444 0 1e+00  8.640348e+03 0.010000 0 1e-02
9.387635e+03 0.010000  9.387426e+03 0.983734 0 2e+00  9.387459e+03 0.010011 0 2e-02
1.019945e+04 0.010000  1.019938e+04 0.981124 0 1e+00  1.019944e+04 0.010013 0 2e-02
1.108147e+04 0.010000  1.108152e+04 0.978054 0 1e+00  1.108153e+04 0.010018 0 2e-02
1.203976e+04 0.010000  1.203977e+04 0.974660 0 1e+00  1.203979e+04 0.010025 0 2e-02
1.308093e+04 0.010000  1.308065e+04 0.970546 0 1e+00  1.308059e+04 0.010031 0 2e-02
1.421213e+04 0.010000  1.421181e+04 0.965488 0 1e+00  1.421178e+04 0.010033 0 2e-02
1.544116e+04 0.010000  1.544109e+04 0.960076 0 1e+00  1.544099e+04 0.010045 0 2e-02
1.677646e+04 0.010000  1.677660e+04 0.953104 0 1e+00  1.677657e+04 0.010049 0 2e-02
1.822724e+04 0.010000  1.822674e+04 0.945738 0 1e+00  1.822676e+04 0.010060 0 2e-02
1.980348e+04 0.010000  1.980352e+04 0.936800 0 1e+00  1.980344e+04 0.010068 0 2e-02
2.151603e+04 0.010000  2.151551e+04 0.926568 0 1e+00  2.151542e+04 0.010068 0 2e-02
2.337668e+04 0.010000  2.337610e+04 0.915220 0 1e+00  2.337637e+04 0.010077 0 2e-02
2.539823e+04 0.010000  2.539824e+04 0.903040 0 1e+00  2.539831e+04 0.010108 0 2e-02
2.759459e+04 0.010000  2.759454e+04 0.889042 0 1e+00  2.759411e+04 0.010121 0 2e-02
2.998090e+04 0.010000  2.998071e+04 0.871298 0 1e+00  2.998108e+04 0.010104 0 2e-02
3.257356e+04 0.010000  3.257329e+04 0.854538 0 1e+00  3.257360e+04 0.010130 0 2e-02
3.539043e+04 0.010000  3.538988e+04 0.833980 0 1e+00  3.538948e+04 0.010150 0 2e-02
3.845089e+04 0.010000  3.844997e+04 0.810252 0 1e+00  3.845055e+04 0.010127 0 2e-02
4.177601e+04 0.010000  4.177598e+04 0.784286 0 1e+00  4.177532e+04 0.010107 0 2e-02
4.538868e+04 0.010000  4.538781e+04 0.757662 0 1e+00  4.538885e+04 0.010096 0 2e-02
4.931377e+04 0.010000  4.931254e+04 0.729694 0 1e+00  4.931314e+04 0.010101 0 2e-02
5.357828e+04 0.010000  5.357779e+04 0.699758 0 1e+00  5.357719e+04 0.010085 0 2e-02
5.821158e+04 0.010000  5.821156e+04 0.669814 0 1e+00  5.821132e+04 0.010080 0 2e-02
6.324555e+04 0.010000  6.324410e+04 0.639464 0 1e+00  6.324508e+04 0.010097 0 2e-02
6.871485e+04 0.010000  6.871406e+04 0.608428 0 1e+00  6.871340e+04 0.010094 0 2e-02
7.465711e+04 0.010000  7.465758e+04 0.577398 0 1e+00  7.465568e+04 0.010097 0 2e-02
8.111325e+04 0.010000  8.111157e+04 0.546286 0 1e+00  8.111381e+04 0.010102 0 2e-02
8.812769e+04 0.010000  8.812853e+04 0.515678 0 1e+00  8.812711e+04 0.010110 0 2e-02
9.574872e+04 0.010000  9.574698e+04 0.486868 0 1e+00  9.574975e+04 0.010145 0 2e-02
1.040288e+05 0.010000  1.040265e+05 0.457454 0 5e-01  1.040299e+05 0.010147 0 2e-02
1.130249e+05 0.010000  1.130255e+05 0.428424 0 5e-01  1.130232e+05 0.010125 0 2e-02
1.227990e+05 0.010000  1.227999e+05 0.401352 0 5e-01  1.227966e+05 0.010102 0 2e-02
1.334183e+05 0.010000  1.334162e+05 0.373688 0 5e-01  1.334172e+05 0.009992 0 2e-02
1.449559e+05 0.010000  1.449519e+05 0.348420 0 5e-01  1.449556e+05 0.009942 0 1e-02
1.574913e+05 0.010000  1.574879e+05 0.325864 0 5e-01  1.574899e+05 0.009915 0 1e-02
1.711107e+05 0.010000  1.711113e+05 0.304198 0 5e-01  1.711064e+05 0.009899 0 1e-02
1.859079e+05 0.010000  1.859032e+05 0.284856 0 5e-01  1.859066e+05 0.009903 0 1e-02
2.019847e+05 0.010000  2.019803e+05 0.266312 0 5e-01  2.019861e+05 0.009906 0 1e-02
2.194517e+05 0.010000  2.194530e+05 0.249118 0 5e-01  2.194475e+05 0.009904 0 1e-02
2.384293e+05 0.010000  2.384264e+05 0.233618 0 5e-01  2.384281e+05 0.009900 0 1e-02
2.590480e+05 0.010000  2.590470e+05 0.219262 0 5e-01  2.590471e+05 0.009895 0 1e-02
2.814497e+05 0.010000  2.814519e+05 0.205778 0 5e-01  2.814378e+05 0.009872 0 1e-02
3.057887e+05 0.010000  3.057809e+05 0.193902 0 5e-01  3.057848e+05 0.009890 0 1e-02
