# F_set      Vpp_set 
  F0           Vpp0   OVL0 RNG0
  F1           Vpp1   OVL1 RNG1
1.000000e+03 0.100000  9.999828e+02 0.002027 0 2e-01  9.999850e+02 0.101573 0 2e-01
1.086477e+03 0.100000  1.086442e+03 0.002030 0 1e-02  1.086442e+03 0.101591 0 2e-01
1.180433e+03 0.100000  1.180431e+03 0.002029 0 1e-02  1.180430e+03 0.101583 0 2e-01
1.282513e+03 0.100000  1.282518e+03 0.002032 0 2e-02  1.282515e+03 0.101581 0 5e-01
1.393421e+03 0.100000  1.393408e+03 0.002031 0 2e-02  1.393398e+03 0.101581 0 5e-01
1.513920e+03 0.100000  1.513883e+03 0.002033 0 2e-02  1.513885e+03 0.101567 0 5e-01
1.644840e+03 0.100000  1.644786e+03 0.002032 0 1e-02  1.644789e+03 0.101551 0 2e-01
1.787081e+03 0.100000  1.787035e+03 0.002035 0 1e-02  1.787048e+03 0.101544 0 2e-01
1.941623e+03 0.100000  1.941608e+03 0.002035 0 1e-02  1.941604e+03 0.101538 0 2e-01
2.109529e+03 0.100000  2.109509e+03 0.002037 0 1e-02  2.109489e+03 0.101523 0 2e-01
2.291955e+03 0.100000  2.291902e+03 0.002043 0 2e-02  2.291892e+03 0.101533 0 5e-01
2.490156e+03 0.100000  2.490083e+03 0.002043 0 2e-02  2.490091e+03 0.101522 0 5e-01
2.705498e+03 0.100000  2.705412e+03 0.002049 0 1e-02  2.705424e+03 0.101514 0 2e-01
2.939462e+03 0.100000  2.939461e+03 0.002052 0 1e-02  2.939463e+03 0.101497 0 2e-01
3.193658e+03 0.100000  3.193573e+03 0.002058 0 2e-02  3.193596e+03 0.101513 0 5e-01
3.469836e+03 0.100000  3.469795e+03 0.002065 0 1e-02  3.469778e+03 0.101501 0 2e-01
3.769898e+03 0.100000  3.769855e+03 0.002070 0 1e-02  3.769896e+03 0.101492 0 2e-01
4.095908e+03 0.100000  4.095940e+03 0.002080 0 1e-02  4.095904e+03 0.101486 0 2e-01
4.450111e+03 0.100000  4.450088e+03 0.002092 0 1e-02  4.450124e+03 0.101479 0 2e-01
4.834943e+03 0.100000  4.834883e+03 0.002109 0 1e-02  4.834872e+03 0.101485 0 2e-01
5.253056e+03 0.100000  5.252903e+03 0.002124 0 1e-02  5.252950e+03 0.101477 0 2e-01
5.707325e+03 0.100000  5.707315e+03 0.002141 0 1e-02  5.707253e+03 0.101471 0 2e-01
6.200878e+03 0.100000  6.200816e+03 0.002165 0 2e-02  6.200890e+03 0.101489 0 5e-01
6.737112e+03 0.100000  6.737103e+03 0.002189 0 1e-02  6.737059e+03 0.101498 0 2e-01
7.319719e+03 0.100000  7.319711e+03 0.002225 0 1e-02  7.319717e+03 0.101482 0 2e-01
7.952707e+03 0.100000  7.952544e+03 0.002258 0 1e-02  7.952491e+03 0.101496 0 2e-01
8.640435e+03 0.100000  8.640253e+03 0.002298 0 1e-02  8.640408e+03 0.101498 0 2e-01
9.387635e+03 0.100000  9.387553e+03 0.002346 0 1e-02  9.387413e+03 0.101518 0 2e-01
1.019945e+04 0.100000  1.019948e+04 0.002401 0 1e-02  1.019949e+04 0.101531 0 2e-01
1.108147e+04 0.100000  1.108132e+04 0.002464 0 1e-02  1.108151e+04 0.101546 0 2e-01
1.203976e+04 0.100000  1.203983e+04 0.002544 0 1e-02  1.203961e+04 0.101577 0 2e-01
1.308093e+04 0.100000  1.308082e+04 0.002632 0 1e-02  1.308093e+04 0.101587 0 2e-01
1.421213e+04 0.100000  1.421193e+04 0.002730 0 1e-02  1.421219e+04 0.101589 0 2e-01
1.544116e+04 0.100000  1.544111e+04 0.002845 0 1e-02  1.544076e+04 0.101596 0 2e-01
1.677646e+04 0.100000  1.677600e+04 0.002978 0 1e-02  1.677648e+04 0.101562 0 2e-01
1.822724e+04 0.100000  1.822706e+04 0.003127 0 1e-02  1.822696e+04 0.101563 0 2e-01
1.980348e+04 0.100000  1.980348e+04 0.003294 0 1e-02  1.980299e+04 0.101551 0 2e-01
2.151603e+04 0.100000  2.151589e+04 0.003478 0 1e-02  2.151561e+04 0.101552 0 2e-01
2.337668e+04 0.100000  2.337660e+04 0.003698 0 1e-02  2.337607e+04 0.101536 0 2e-01
2.539823e+04 0.100000  2.539822e+04 0.003949 0 1e-02  2.539823e+04 0.101546 0 2e-01
2.759459e+04 0.100000  2.759383e+04 0.004219 0 1e-02  2.759437e+04 0.101546 0 2e-01
2.998090e+04 0.100000  2.998005e+04 0.004527 0 1e-02  2.998100e+04 0.101552 0 2e-01
3.257356e+04 0.100000  3.257256e+04 0.004865 0 1e-02  3.257368e+04 0.101547 0 2e-01
3.539043e+04 0.100000  3.538992e+04 0.005240 0 1e-02  3.538977e+04 0.101549 0 2e-01
3.845089e+04 0.100000  3.845116e+04 0.005686 0 1e-02  3.845065e+04 0.101569 0 2e-01
4.177601e+04 0.100000  4.177550e+04 0.006143 0 1e-02  4.177616e+04 0.101575 0 2e-01
4.538868e+04 0.100000  4.538804e+04 0.006662 0 1e-02  4.538792e+04 0.101586 0 2e-01
4.931377e+04 0.100000  4.931370e+04 0.007250 0 1e-02  4.931249e+04 0.101602 0 2e-01
5.357828e+04 0.100000  5.357798e+04 0.007890 0 1e-02  5.357799e+04 0.101588 0 2e-01
5.821158e+04 0.100000  5.821198e+04 0.008613 0 1e-02  5.821073e+04 0.101635 0 2e-01
6.324555e+04 0.100000  6.324598e+04 0.009383 0 2e-02  6.324398e+04 0.101625 0 5e-01
6.871485e+04 0.100000  6.871451e+04 0.010271 0 2e-02  6.871309e+04 0.101633 0 5e-01
7.465711e+04 0.100000  7.465660e+04 0.011227 0 2e-02  7.465679e+04 0.101673 0 2e-01
8.111325e+04 0.100000  8.111350e+04 0.012281 0 2e-02  8.111201e+04 0.101680 0 2e-01
8.812769e+04 0.100000  8.812526e+04 0.013452 0 2e-02  8.812804e+04 0.101710 0 2e-01
9.574872e+04 0.100000  9.574878e+04 0.014626 0 2e-02  9.574638e+04 0.101850 0 2e-01
1.040288e+05 0.100000  1.040255e+05 0.015904 0 2e-02  1.040289e+05 0.101827 0 2e-01
1.130249e+05 0.100000  1.130242e+05 0.017323 0 2e-02  1.130243e+05 0.101795 0 2e-01
1.227990e+05 0.100000  1.227959e+05 0.018852 0 2e-02  1.227996e+05 0.101718 0 2e-01
1.334183e+05 0.100000  1.334185e+05 0.020517 0 2e-02  1.334173e+05 0.101622 0 2e-01
1.449559e+05 0.100000  1.449605e+05 0.022407 0 5e-02  1.449536e+05 0.101569 0 2e-01
1.574913e+05 0.100000  1.574868e+05 0.024389 0 5e-02  1.574915e+05 0.101462 0 2e-01
