# F_set      Vpp_set 
  F0           Vpp0   OVL0 RNG0
  F1           Vpp1   OVL1 RNG1
1.000000e+03 0.001000  1.000257e+03 0.000009 0 1e-02  9.999681e+02 0.000826 0 1e-02
1.000000e+03 0.001216  9.991090e+02 0.000009 0 1e-02  9.999984e+02 0.000833 0 1e-02
1.000000e+03 0.001480  1.000143e+03 0.000010 0 1e-02  9.999863e+02 0.000835 0 1e-02
1.000000e+03 0.001800  1.000976e+03 0.000008 0 1e-02  9.999589e+02 0.000838 0 1e-02
1.000000e+03 0.002190  9.997708e+02 0.000020 0 1e-02  1.000017e+03 0.001910 0 1e-02
1.000000e+03 0.002664  1.000033e+03 0.000020 0 1e-02  9.999704e+02 0.001916 0 1e-02
1.000000e+03 0.003241  1.000039e+03 0.000030 0 1e-02  9.999693e+02 0.002921 0 1e-02
1.000000e+03 0.003942  9.999618e+02 0.000032 0 1e-02  9.999951e+02 0.002914 0 1e-02
1.000000e+03 0.004796  9.999538e+02 0.000042 0 1e-02  1.000000e+03 0.003928 0 1e-02
1.000000e+03 0.005834  1.000058e+03 0.000052 0 1e-02  9.999852e+02 0.004936 0 1e-02
1.000000e+03 0.007097  9.999764e+02 0.000072 0 1e-02  1.000002e+03 0.006950 0 1e-02
1.000000e+03 0.008633  1.000065e+03 0.000083 0 1e-02  9.999983e+02 0.007966 0 1e-02
1.000000e+03 0.010502  9.999929e+02 0.000106 0 2e-02  1.000000e+03 0.010010 0 2e-02
1.000000e+03 0.012775  9.999333e+02 0.000128 0 1e-02  9.999814e+02 0.012063 0 2e-02
1.000000e+03 0.015541  9.999552e+02 0.000153 0 1e-02  9.999879e+02 0.014511 0 2e-02
1.000000e+03 0.018905  9.999613e+02 0.000190 0 1e-02  9.999984e+02 0.017724 0 2e-02
1.000000e+03 0.022998  1.000028e+03 0.000232 0 1e-02  9.999922e+02 0.021803 0 2e-02
1.000000e+03 0.027976  1.000002e+03 0.000290 0 1e-02  9.999938e+02 0.026860 0 5e-02
1.000000e+03 0.034033  9.999769e+02 0.000368 0 1e-02  9.999800e+02 0.034029 0 5e-02
1.000000e+03 0.041400  9.999757e+02 0.000446 0 1e-02  1.000002e+03 0.041123 0 5e-02
1.000000e+03 0.050363  1.000006e+03 0.000547 0 1e-02  1.000004e+03 0.050344 0 5e-02
1.000000e+03 0.061265  9.999845e+02 0.000671 0 1e-02  9.999758e+02 0.061530 0 1e-01
1.000000e+03 0.074528  9.999993e+02 0.000816 0 1e-02  1.000004e+03 0.074873 0 1e-01
1.000000e+03 0.090662  9.999794e+02 0.000996 0 1e-02  9.999779e+02 0.091297 0 1e-01
1.000000e+03 0.110289  9.999986e+02 0.001221 0 1e-02  9.999967e+02 0.111948 0 1e-01
1.000000e+03 0.134164  9.999834e+02 0.001498 0 1e-02  9.999805e+02 0.136935 0 2e-01
1.000000e+03 0.163208  1.000009e+03 0.001737 0 1e-02  1.000004e+03 0.158751 0 2e-01
1.000000e+03 0.198540  9.999984e+02 0.002130 0 1e-02  9.999959e+02 0.194775 0 2e-01
1.000000e+03 0.241520  1.000000e+03 0.002610 0 1e-02  9.999990e+02 0.238674 0 2e-01
1.000000e+03 0.293804  9.999920e+02 0.003192 0 1e-02  9.999937e+02 0.291584 0 5e-01
1.000000e+03 0.357407  1.000001e+03 0.003904 0 1e-02  9.999997e+02 0.356622 0 5e-01
1.000000e+03 0.434779  9.999806e+02 0.004760 0 1e-02  9.999817e+02 0.434768 0 5e-01
1.000000e+03 0.528901  1.000003e+03 0.005813 0 1e-02  1.000002e+03 0.530866 0 5e-01
1.000000e+03 0.643398  9.999825e+02 0.007092 0 1e-02  9.999818e+02 0.647484 0 1e+00
1.000000e+03 0.782682  9.999762e+02 0.008653 0 1e-02  9.999765e+02 0.789746 0 1e+00
1.000000e+03 0.952118  9.999768e+02 0.010568 0 2e-02  9.999758e+02 0.965158 0 2e+00
1.000000e+03 1.158234  1.000005e+03 0.012900 0 2e-02  1.000004e+03 1.177132 0 1e+00
1.000000e+03 1.408970  9.999798e+02 0.015760 0 2e-02  9.999790e+02 1.439034 0 2e+00
1.000000e+03 1.713985  9.999866e+02 0.018288 0 2e-02  9.999860e+02 1.670176 0 2e+00
1.000000e+03 2.085031  9.999752e+02 0.022367 0 2e-02  9.999751e+02 2.042720 0 2e+00
1.000000e+03 2.536402  9.999872e+02 0.027427 0 5e-02  9.999866e+02 2.503600 0 5e+00
1.000000e+03 3.085485  9.999785e+02 0.033458 0 5e-02  9.999781e+02 3.054000 0 5e+00
1.000000e+03 3.753435  9.999754e+02 0.040913 0 5e-02  9.999753e+02 3.734360 0 5e+00
1.000000e+03 4.565984  9.999748e+02 0.049885 0 5e-02  9.999748e+02 4.553240 0 5e+00
1.000000e+03 5.554434  1.000003e+03 0.060909 0 5e-02  1.000003e+03 5.559120 0 5e+00
1.000000e+03 6.756865  1.000002e+03 0.074239 0 1e-01  1.000002e+03 6.776560 0 1e+01
1.000000e+03 8.219600  9.999788e+02 0.090563 0 1e-01  9.999794e+02 8.266760 0 1e+01
1.000000e+03 9.998990  9.999796e+02 0.110468 0 1e-01  9.999792e+02 10.083960 0 1e+01
1.000000e+03 12.163585  1.000001e+03 0.134911 0 2e-01  1.000000e+03 12.313000 0 2e+01
1.000000e+03 14.796774  1.000009e+03 0.102351 0 5e-01  1.000003e+03 15.054560 0 2e+01
1.000000e+03 18.000000  9.999920e+02 0.258384 0 2e+00  9.999807e+02 18.324360 0 2e+01
