# F_set      Vpp_set 
  F0           Vpp0   OVL0 RNG0
  F1           Vpp1   OVL1 RNG1
1.000000e+03 0.001000  1.000015e+03 0.000089 0 1e-02  9.999772e+02 0.000821 0 1e-02
1.000000e+03 0.001216  1.000017e+03 0.000090 0 1e-02  1.000030e+03 0.000831 0 1e-02
1.000000e+03 0.001480  1.000060e+03 0.000091 0 1e-02  1.000014e+03 0.000832 0 1e-02
1.000000e+03 0.001800  9.999579e+02 0.000092 0 2e-02  9.999778e+02 0.000839 0 2e-02
1.000000e+03 0.002190  9.999952e+02 0.000210 0 1e-02  9.999682e+02 0.001915 0 1e-02
1.000000e+03 0.002664  9.999837e+02 0.000208 0 1e-02  9.999807e+02 0.001909 0 1e-02
1.000000e+03 0.003241  9.999921e+02 0.000319 0 1e-02  9.999961e+02 0.002919 0 1e-02
1.000000e+03 0.003942  9.999699e+02 0.000318 0 1e-02  9.999904e+02 0.002919 0 1e-02
1.000000e+03 0.004796  1.000008e+03 0.000428 0 1e-02  1.000001e+03 0.003919 0 1e-02
1.000000e+03 0.005834  9.999769e+02 0.000539 0 1e-02  9.999763e+02 0.004935 0 1e-02
1.000000e+03 0.007097  9.999856e+02 0.000754 0 1e-02  9.999848e+02 0.006944 0 1e-02
1.000000e+03 0.008633  9.999756e+02 0.000866 0 2e-02  9.999797e+02 0.007973 0 2e-02
1.000000e+03 0.010502  9.999995e+02 0.001090 0 2e-02  9.999862e+02 0.010008 0 2e-02
1.000000e+03 0.012775  9.999651e+02 0.001313 0 1e-02  9.999745e+02 0.012052 0 2e-02
1.000000e+03 0.015541  9.999890e+02 0.001582 0 1e-02  9.999896e+02 0.014510 0 2e-02
1.000000e+03 0.018905  9.999717e+02 0.001933 0 1e-02  9.999745e+02 0.017723 0 2e-02
1.000000e+03 0.022998  9.999856e+02 0.002382 0 1e-02  9.999845e+02 0.021797 0 2e-02
1.000000e+03 0.027976  1.000001e+03 0.002940 0 2e-02  1.000004e+03 0.026852 0 1e-01
1.000000e+03 0.034033  9.999908e+02 0.003723 0 1e-02  9.999889e+02 0.034019 0 5e-02
1.000000e+03 0.041400  1.000005e+03 0.004505 0 2e-02  1.000004e+03 0.041118 0 1e-01
1.000000e+03 0.050363  9.999928e+02 0.005515 0 2e-02  9.999914e+02 0.050331 0 1e-01
1.000000e+03 0.061265  9.999971e+02 0.006745 0 2e-02  9.999966e+02 0.061509 0 2e-01
1.000000e+03 0.074528  1.000002e+03 0.008209 0 2e-02  1.000001e+03 0.074848 0 2e-01
1.000000e+03 0.090662  9.999977e+02 0.010012 0 2e-02  9.999979e+02 0.091268 0 2e-01
1.000000e+03 0.110289  9.999858e+02 0.012276 0 2e-02  9.999855e+02 0.111936 0 1e-01
1.000000e+03 0.134164  9.999752e+02 0.015021 0 2e-02  9.999748e+02 0.136914 0 2e-01
1.000000e+03 0.163208  1.000002e+03 0.017414 0 2e-02  1.000003e+03 0.158714 0 2e-01
1.000000e+03 0.198540  1.000001e+03 0.021370 0 2e-02  1.000000e+03 0.194756 0 2e-01
1.000000e+03 0.241520  1.000001e+03 0.026187 0 5e-02  1.000001e+03 0.238614 0 2e-01
1.000000e+03 0.293804  9.999923e+02 0.031994 0 5e-02  9.999923e+02 0.291530 0 5e-01
1.000000e+03 0.357407  9.999750e+02 0.039138 0 5e-02  9.999750e+02 0.356618 0 5e-01
1.000000e+03 0.434779  9.999885e+02 0.047716 0 5e-02  9.999885e+02 0.434732 0 5e-01
1.000000e+03 0.528901  9.999748e+02 0.058259 0 5e-02  9.999748e+02 0.530832 0 5e-01
1.000000e+03 0.643398  9.999748e+02 0.071054 0 1e-01  9.999748e+02 0.647506 0 1e+00
1.000000e+03 0.782682  9.999956e+02 0.086653 0 1e-01  9.999959e+02 0.789664 0 1e+00
1.000000e+03 0.952118  1.000004e+03 0.105844 0 1e-01  1.000004e+03 0.964546 0 1e+00
1.000000e+03 1.158234  1.000002e+03 0.129128 0 2e-01  1.000001e+03 1.176860 0 1e+00
1.000000e+03 1.408970  1.000003e+03 0.157795 0 2e-01  1.000003e+03 1.438830 0 2e+00
1.000000e+03 1.713985  9.999752e+02 0.183130 0 2e-01  9.999754e+02 1.669860 0 2e+00
1.000000e+03 2.085031  1.000002e+03 0.223944 0 2e-01  1.000001e+03 2.042020 0 2e+00
1.000000e+03 2.536402  9.999750e+02 0.274576 0 5e-01  9.999751e+02 2.503240 0 5e+00
1.000000e+03 3.085485  9.999907e+02 0.334998 0 5e-01  9.999904e+02 3.053980 0 5e+00
1.000000e+03 3.753435  1.000003e+03 0.409594 0 5e-01  1.000003e+03 3.734020 0 5e+00
1.000000e+03 4.565984  9.999749e+02 0.499408 0 5e-01  9.999748e+02 4.552720 0 5e+00
1.000000e+03 5.554434  9.999869e+02 0.609732 0 5e-01  9.999873e+02 5.558340 0 5e+00
1.000000e+03 6.756865  9.999763e+02 0.743356 0 1e+00  9.999764e+02 6.775320 0 1e+01
1.000000e+03 8.219600  9.999890e+02 0.906886 0 1e+00  9.999887e+02 8.265780 0 1e+01
1.000000e+03 9.998990  9.999995e+02 1.106124 0 1e+00  9.999993e+02 10.081400 0 1e+01
1.000000e+03 12.163585  9.999778e+02 1.346230 0 2e+00  9.999781e+02 12.310880 0 2e+01
1.000000e+03 14.796774  9.999684e+02 0.967494 0 2e+00  9.999762e+02 15.050580 0 2e+01
1.000000e+03 18.000000  9.999903e+02 2.073720 0 1e+01  1.000004e+03 18.322800 0 2e+01
