# F_set      Vpp_set 
  F0           Vpp0   OVL0 RNG0
  F1           Vpp1   OVL1 RNG1
1.000000e+03 0.001000  9.999858e+02 0.834518 0 1e+00  9.999713e+02 0.000837 0 1e+00
1.086477e+03 0.001000  1.086447e+03 0.833102 0 1e+00  1.086446e+03 0.000835 0 1e-02
1.180433e+03 0.001000  1.180451e+03 0.835360 0 1e+00  1.180454e+03 0.000839 0 1e-02
1.282513e+03 0.001000  1.282472e+03 0.835942 0 1e+00  1.282473e+03 0.000840 0 1e-02
1.393421e+03 0.001000  1.393376e+03 0.831706 0 1e+00  1.393370e+03 0.000837 0 1e-02
1.513920e+03 0.001000  1.513888e+03 0.831116 0 1e+00  1.513880e+03 0.000837 0 1e-02
1.644840e+03 0.001000  1.644866e+03 0.832344 0 1e+00  1.644864e+03 0.000839 0 1e-02
1.787081e+03 0.001000  1.787052e+03 0.833054 0 1e+00  1.787042e+03 0.000841 0 1e-02
1.941623e+03 0.001000  1.941590e+03 0.829038 0 1e+00  1.941576e+03 0.000839 0 1e-02
2.109529e+03 0.001000  2.109459e+03 0.828582 0 1e+00  2.109460e+03 0.000840 0 1e-02
2.291955e+03 0.001000  2.291900e+03 0.827716 0 1e+00  2.291895e+03 0.000841 0 1e-02
2.490156e+03 0.001000  2.490071e+03 0.828412 0 1e+00  2.490062e+03 0.000846 0 1e-02
2.705498e+03 0.001000  2.705452e+03 0.823456 0 1e+00  2.705442e+03 0.000841 0 1e-02
2.939462e+03 0.001000  2.939379e+03 0.820466 0 1e+00  2.939366e+03 0.000843 0 1e-02
3.193658e+03 0.001000  3.193639e+03 0.815388 0 1e+00  3.193625e+03 0.000843 0 1e-02
3.469836e+03 0.001000  3.469852e+03 0.811238 0 1e+00  3.469855e+03 0.000843 0 1e-02
3.769898e+03 0.001000  3.769722e+03 0.802862 0 1e+00  3.769701e+03 0.000839 0 1e-02
4.095908e+03 0.001000  4.095827e+03 0.799412 0 1e+00  4.095782e+03 0.000841 0 1e-02
4.450111e+03 0.001000  4.449962e+03 0.792338 0 1e+00  4.449953e+03 0.000845 0 1e-02
4.834943e+03 0.001000  4.834904e+03 0.784128 0 1e+00  4.834904e+03 0.000844 0 1e-02
